rowname,Category,k141_135924_AM_X3_bin_5_orig,k141_274931_AM_X3_bin_5_orig_fragment_1,N_16293_len_28863_cycle_0,N_19721_len_20494_cycle_0,N_28022_len_19338_cycle_0,N_28103_len_38393_cycle_1,N_3_len_7569_cycle_0,N_39617_len_27357_cycle_0,N_8053_len_9432_cycle_1,NODE_1_length_26585_cov_5.614735_AM_X3_bin_2_permissive,NODE_29_length_35341_cov_10.260577_AM_X1_bin_4_strict,NODE_3_length_14900_cov_4.022195_AM_X3_bin_1_permissive,NODE_64_length_14526_cov_6.215171_AM_X3_bin_3_strict
1,Anti-CRISPR-associated,0,0,0,0,0,0,0,0,0,0,1,0,1
2,"DNA replication, recombination, repair, nucleotide metabolism",0,0,0,0,0,1,0,0,0,0,0,0,0
3,"DNA replication, recombination, repair, nucleotide metabolism",0,0,0,0,1,0,0,0,0,0,0,0,0
4,Not found,0,0,0,0,0,0,0,0,0,0,1,0,0
5,Structural,0,0,0,1,0,0,0,1,0,0,1,1,0
6,Not found,0,1,0,0,0,0,0,0,0,0,0,0,0
7,other,0,0,0,0,0,0,1,0,0,0,0,0,0
8,Virulence-associated,0,0,0,0,0,0,0,1,0,0,0,0,0
9,Not found,0,0,0,0,0,0,1,0,0,0,0,0,0
10,"DNA replication, recombination, repair, nucleotide metabolism",0,0,0,0,0,0,0,1,0,0,0,0,0
11,"DNA replication, recombination, repair, nucleotide metabolism",0,0,0,0,0,0,0,1,0,0,0,0,0
12,AMG,0,0,0,0,0,0,0,0,0,1,0,0,0
13,UNK,0,0,0,0,0,0,0,0,0,0,1,0,1
14,UNK,0,0,0,0,0,1,0,0,0,0,0,0,0
15,Not found,0,0,0,0,0,0,0,0,0,0,1,0,1
16,Not found,0,0,0,0,0,0,0,0,1,0,0,0,0
17,UNK,0,1,0,0,0,0,0,0,0,0,0,0,0
18,UNK,0,0,1,0,0,0,0,0,0,0,0,0,0
19,Not found,0,0,0,0,0,0,0,0,0,0,1,0,1
20,UNK,0,0,0,0,0,1,0,0,0,0,0,0,0
21,Not found,0,1,0,0,0,0,0,0,0,0,0,0,0
22,Not found,0,0,0,0,0,0,0,0,0,1,0,0,0
23,Not found,0,0,0,0,0,1,0,0,0,0,0,0,0
24,Not found,1,0,1,0,0,0,0,0,0,0,0,0,0
25,UNK,0,1,0,0,0,0,0,0,0,0,1,0,0
26,AMG,0,0,0,0,1,0,0,0,0,0,0,0,0
27,"Transcription, translation, protein synthesis",0,0,0,0,0,0,0,0,0,0,1,0,1
28,AMG,0,0,0,0,1,0,0,0,0,1,0,0,0
29,Virulence-associated,0,0,0,2,0,0,0,2,0,0,2,1,0
30,Structural,0,0,0,1,0,0,0,1,0,0,1,1,0
31,UNK,0,0,0,0,0,0,0,0,0,0,0,0,1
32,Not found,0,0,0,0,0,0,0,1,0,0,0,0,0
33,Not found,0,0,0,0,0,0,0,1,0,0,0,0,0
34,other,0,0,0,0,0,0,0,0,0,1,0,0,0
35,Antibiotic resistance-associated,0,0,0,1,0,0,0,1,0,0,1,0,1
36,other,0,0,0,0,0,0,0,0,0,0,1,0,0
37,Anti-CRISPR-associated,1,1,1,1,0,0,0,0,0,0,1,0,0
38,Antiviral defence,0,0,0,0,0,0,0,1,0,0,0,1,0
39,"Transcription, translation, protein synthesis",0,0,0,0,0,0,0,0,0,0,1,0,1
40,Structural,0,0,0,1,0,0,0,1,0,0,1,0,0
41,other,0,0,0,1,0,0,0,1,0,0,1,0,0
42,UNK,1,0,1,0,0,0,0,0,0,0,0,0,0
43,Antibiotic resistance-associated,0,0,0,0,1,0,0,0,0,1,0,0,0
44,"DNA replication, recombination, repair, nucleotide metabolism",0,0,0,0,0,1,0,0,0,0,0,0,0
45,"Transcription, translation, protein synthesis",0,0,0,0,0,0,0,0,0,0,0,1,0
46,"Transcription, translation, protein synthesis",0,1,0,0,0,1,0,0,0,0,1,0,1
47,"Transcription, translation, protein synthesis",1,0,1,0,0,0,0,0,0,0,0,0,0
48,"Transcription, translation, protein synthesis",0,0,1,0,0,0,0,0,0,0,0,0,0
49,Structural,0,0,0,0,0,0,0,0,0,1,0,0,0
50,Structural,0,0,0,0,0,0,0,0,0,1,0,0,0
51,Structural,0,0,0,0,0,0,0,0,1,0,0,0,0
